species;cultivar_variety;family;plant_functional_type;population_year;refkey;gm_original;gm_original_SD;gm_original_SE;number_of_measurements;unit_original;gm_1bar;gm;method;variant;method_reference;air_pressure;PPFD;blue_light;temperature;temperature_type;AnCi_min;AnCi_max;AnCi_n;Ca_gas_exchange;Ca_gm;Ci_calc;rH;VPD;O2;flow_rate;cuvette_size;device_gas_exchange;fluorometer_spectroscope;hour;leaves_used;growth_location;growth_longitude;growth_latitude;growth_elevation;growth_environment;hydroponic;potted;pot_size;growth_irradiance;growth_temperature_day;growth_temperature_night;growth_rH;growth_Ca;growth_daylength;plant_age;An;gs_CO2;Ci;Cc;Ci-Cc;Rd;Rl;photorespiration;Gammastar;Cistar;Vcmax_Ci;Vcmax_Ci_25;Vcmax_Cc;Vcmax_Cc_25;Rubisco_constants_Ci_reference;Rubisco_constants_Cc_reference;Jmax_Ci;Jmax_Cc;TPU;Vpmax;J_fluorescence;kCA_activity;CA_activity;Delta_18O;Delta_13C;delta_13C;bulk_elastic_modulus;K_leaf;K_xylem;K_outside_xylem;N_g_m2;N_%DW;K_g_m2;K_%DW;P_g_m2;P_%DW;N%_Rubisco;N%_bioenergetics;N%_light_harvesting;N%_photosynthetic_apparatus;N%_cell_wall;Soluble_Protein;Rubisco;Rubisco_activity;Rubisco_activation_state;Chl_a;Chl_b;Chl_total;Chl_a/b;leaf_starch_%DW;leaf_starch_g_m2;LMA;leaf_width;T_leaf;D_leaf;T_mesophyll;T_palisade_mesophyll;T_spongy_mesophyll;fias_mesophyll;interveinal_distance;T_epidermis_adaxial;T_epidermis_abaxial;stomatal_index;stomatal_density;stomatal_density_adaxial;stomatal_density_abaxial;stomatal_area;stomatal_area_adaxial;stomatal_area_abaxial;stomatal_length;stomatal_length_adaxial;stomatal_length_abaxial;stomatal_width;T_cw;T_cyt;T_chloroplast;chloroplast_length;chloroplast_width;chloroplast_surface_area;Sm;Sc;Sb;ls_rel;lm_rel;lb_rel;Ls;Lm;location_in_reference;outlier;included_in_Knauer_et_al_2022
Acer macrophyllum;;Sapindaceae;deciduous angiosperms;;Manter_2004;0,095;;0,006;2;mol m-2 s-1;0,095;0,095;F;variable J;Epron_1995;;1600;;25;leaf;;;;;;;60;1,26;;;2;LI-6400;;;current-year-foliage;;;;;outdoor cold-frame;0;1;;;;;;;;548;;;;;;;;;;;30,87;30,87;31,52;31,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 2;0;1
Acer mono;var. marmoratum;Sapindaceae;deciduous angiosperms;;Hanba_2001;0,127;;;4;mol m-2 s-1;0,127;0,127;I;slope method;Evans_1986;;760;;25;leaf;;;;350;350;;;;;;;;;;;;134;35;;field conditions;0;1;5;;;;;;;1278;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,87;;;;;;;;;;;;1,55;;;0,219;0,068;0,287;3,3;;;;;;;51,3;;;0,31;;;;;;;;;;;;;;;;;;;;;15,7;10,8;;;;;;;Figure 4d: mature early;0;1
Acer mono;var. marmoratum;Sapindaceae;deciduous angiosperms;;Hanba_2002;0,065;;;;mol m-2 s-1;0,065;0,066;I;sugar;Scartazza_1998;;740;;24,8;leaf;;;;350;350;;75;0,78;;;;;;;;;;;;field conditions;0;1;5;;;;;;;;9,9;0,228;;188,8;;;;;;;;;;;;;;;;;;;;;;;;;;;1,644;2,293;;;;;;;;;;;1,87;;;;;0,506;;;;71,7;;;;132,2;;;0,24;;;;;;;561;;;;;;;;;;;;;;12,2;8,9;;;;;;;Figure 4c: plants grown in full light (white bars);0;1
Acer negundo;;Sapindaceae;deciduous angiosperms;;Tomas_2013;0,016;;0,003;3;mol m-2 s-1;0,016;0,016;F;variable J;Harley_1992;;1500;10;25;leaf;50;1500;;385;385;;;;;;8;GFS-3000;;;fully developed, young, current-season leaves;;;;;growth room;0;1;;350;24;18;60;;10;548;2,5;0,046;263,5;;;;;;;;;;68,1;68,1;;Bernacchi_2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30,9;;123,6;0,26;102,4;60,2;42,2;;;;;;;;;;;;;;;;0,23;0,092;1,68;4,25;;;14,4;6;;;;;;;Table S2;1;0
Acer palmatum;;Sapindaceae;deciduous angiosperms;;Hanba_2002;0,052;;;;mol m-2 s-1;0,052;0,052;I;sugar;Scartazza_1998;;740;;24,8;leaf;;;;350;350;;75;0,78;;;;;;;;;;;;field conditions;0;1;5;;;;;;;;8,4;0,156;;148,7;;;;;;;;;;;;;;;;;;;;;;;;;;;1,054;1,83;;;;;;;;;;;1,24;;;;;0,371;;;;57,6;;;;113,3;;;0,11;;;;;;;862;;;;;;;;;;;;;;10,3;7,5;;;;;;;Figure 4c: plants grown in full light (white bars);0;1
Acer platanoides;;Sapindaceae;deciduous angiosperms;;Hommel_2014;0,057;;;;mol m-2 s-1;0,057;0,061;S;;Terashima_2002;;700;;24;leaf;;;;400;400;;60;1,19;;;;GFS-3000;;;;;;;;greenhouse;0;1;4;600;20;20;;;16;730;6,67;0,071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 2: gm max Control;0;1
Acer rufinerve;;Sapindaceae;deciduous angiosperms;;Hanba_2002;0,047;;;;mol m-2 s-1;0,047;0,047;I;sugar;Scartazza_1998;;740;;24,8;leaf;;;;350;350;;75;0,78;;;;;;;;;;;;field conditions;0;1;5;;;;;;;;8;0,1;;130,8;;;;;;;;;;;;;;;;;;;;;;;;;;;1,592;2,172;;;;;;;;;;;2,1;;;;;0,355;;;;73,3;;;;212,2;;;0,24;;;;;;;732;;;;;;;;;;;;;;18,8;13,8;;;;;;;Figure 4c: plants grown in full light (white bars);0;1
Acmopyle pancheri;;Podocarpaceae;evergreen gymnosperms;;Veromann-Juergenson_2020;0,048;;;3;mol m-2 s-1;0,048;0,048;F;variable J;Harley_1992;;1200;10;25;leaf;50;2000;;400;400;225;53;1,5;;;8;GFS-3000;;;mature, fully expanded that had developed in nonshaded conditions and light conditions similar to measurement intensity;;147,33;-42,9;;controlled-condition greenhouse;0;1;;;25;16;78;;;;5,44;;225,3;146,4;78,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193,9;;;;;;;;;;;;;;;;;;;;;;0,64;;3,54;;;;20,6;17,1;;;;;;;personal communication Veromann-Juergenson (2020) (values shown in Figure 4a);0;1
Acmopyle sahniana;;Podocarpaceae;evergreen gymnosperms;;Veromann-Juergenson_2020;0,05;;;3;mol m-2 s-1;0,05;0,05;F;variable J;Harley_1992;;1200;10;25;leaf;50;2000;;400;400;225;53;1,5;;;8;GFS-3000;;;mature, fully expanded that had developed in nonshaded conditions and light conditions similar to measurement intensity;;147,33;-42,9;;controlled-condition greenhouse;0;1;;;25;16;78;;;;4,74;;289,6;132,6;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108,3;;;;;;;;;;;;;;;;;;;;;;0,67;;2,13;;;;17,3;16;;;;;;;personal communication Veromann-Juergenson (2020) (values shown in Figure 4a);0;1
Actinostrobus arenarius;;Cupressaceae;evergreen gymnosperms;;Veromann-Juergenson_2020;0,101;;;3;mol m-2 s-1;0,101;0,101;F;variable J;Harley_1992;;1200;10;25;leaf;50;2000;;400;400;225;53;1,5;;;8;GFS-3000;;;mature, fully expanded that had developed in nonshaded conditions and light conditions similar to measurement intensity;;147,33;-42,9;;controlled-condition greenhouse;0;1;;;;;78;;;;12;;255,1;135,7;119,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;239,5;;;;;;;;;;;;;;;;;;;;;;0,6;;2,39;;;;30,5;25,9;;;;;;;personal communication Veromann-Juergenson (2020) (values shown in Figure 4a);0;1
Adiantum capillus-veneris;;Pteridaceae;ferns;;Carriqui_2015;0,031;;0,006;;mol m-2 s-1;0,031;0,029;F;variable J;Harley_1992;;1500;10;26;leaf;;;;400;400;;55;1,5;;200;2;LI-6400XTR;LI-6400-40;;fully expanded frons / leaves;;;;;field grown;0;0;;;;;;;;;5,9;0,059;287;88;199;0,5;;;;;;;100;91,57;;;;;;;80,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,1;;;;;;;0,393;;;;;;;;;;;;;;;0,238;;;;;;8,3;4,6;;;;;;;Table 2;0;1
Adiantum capillus-veneris;;Pteridaceae;ferns;;Tosens_2016;0,063;;0,028;;mol m-2 s-1;0,063;0,063;C;;Ethier_2004;;900;10;25;block;50;1800;;400;;;53;1,5;;200;2;LI-6400XT;;;fully-expanded current year fronds, twigs or leaves;Spain;2,72;39,77;47;;0;0;;;;;;;;;5,9;0,059;;;;;0,5;;;;;;;;;;;;;;80,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,1;;121,8;;;;;;;;;;;;;;;;;;;;0,238;;3,39;;;;;4;;;;;;;Table S1: gm (Ethier);0;1
Adiantum capillus-veneris;;Pteridaceae;ferns;;Tosens_2016;0,031;;0,008;;mol m-2 s-1;0,031;0,031;F;variable J;Harley_1992;;900;12,5;25;block;;;;400;400;;53;1,5;;200;2;LI-6400XT;LI-6400-40;;fully-expanded current year fronds, twigs or leaves;;;;;;0;0;;;;;;;;;5,9;0,059;;;;;0,5;;;;;;100;100;;Bernacchi_2002;;88,3;;;80,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,1;;121,8;;;;;;;;;;;;;;;;;;;;0,238;;3,39;;;;;4;;;;;;;Table S1: gm (Harley or Evans);0;1
Adiantum pedatum;;Pteridaceae;ferns;;Tosens_2016;0,034;;0,007;;mol m-2 s-1;0,034;0,034;C;;Ethier_2004;;900;10;25;block;50;1800;;400;;;53;1,5;;200;;;;;fully-expanded current year fronds, twigs or leaves;Japan;135,78;35,05;72;glasshouse;0;1;3;416;28,7;28,7;64;;;;2,8;0,04;;;;;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,2;;60,4;;;;;;;;;;;;;;;;;;;;0,291;;2,12;;;;;1,2;;;;;;;Table S1: gm (Ethier);0;1
Adiantum pedatum;;Pteridaceae;ferns;;Tosens_2016;0,017;;0,002;;mol m-2 s-1;0,017;0,017;I;;Evans_1986, Tazoe_2011;;500;12,5;25;block;;;;400;400;;53;1,5;;500;;;;;fully-expanded current year fronds, twigs or leaves;Japan;135,78;35,05;72;glasshouse;0;1;3;416;28,7;28,7;64;;;;2,8;0,04;;;;;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,2;;60,4;;;;;;;;;;;;;;;;;;;;0,291;;2,12;;;;;1,2;;;;;;;Table S1: gm (Harley or Evans);0;1
Aegilops cylindrica;;Poaceae;C3 annual herbaceous;;Brestic_2018;0,512;;0,048;7;mol m-2 s-1;0,512;0,512;C;;Ethier_2004;;1000;;25;leaf;50;1800;12;380;;;60;0,9;;;;CIRAS-2;;;flag leaf;;;;;field grown;0;0;;;;;;;;;16,74;0,194;238,2;;;1,29;;;;;;;73,6;73,6;Bernacchi_2001;;;133,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 3c: WR;0;1
Afrocarpus falcatus;;Podocarpaceae;evergreen gymnosperms;;Veromann-Juergenson_2020;0,091;;;3;mol m-2 s-1;0,091;0,091;F;variable J;Harley_1992;;1200;10;25;leaf;50;2000;;400;400;225;53;1,5;;;8;GFS-3000;;;mature, fully expanded that had developed in nonshaded conditions and light conditions similar to measurement intensity;;147,33;-42,9;;controlled-condition greenhouse;0;1;;;;;78;;;;4,17;;203,3;155,4;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149;;;;;;;;;;;;;;;;;;;;;;0,61;;2,54;;;;21,6;19,4;;;;;;;personal communication Veromann-Juergenson (2020) (values shown in Figure 4a);0;1
Agathis australis;;Araucariaceae;evergreen gymnosperms;;Veromann-Juergenson_2020;0,053;;;3;mol m-2 s-1;0,053;0,053;F;variable J;Harley_1992;;1200;10;25;leaf;50;2000;;400;400;225;53;1,5;;;8;GFS-3000;;;mature, fully expanded that had developed in nonshaded conditions and light conditions similar to measurement intensity;;147,33;-42,9;;controlled-condition greenhouse;0;1;;;25;16;78;;;;9,6;;177,5;60,7;116,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123,8;;;;;;;;;;;;;;;;;;;;;;0,6;;2,19;;;;21,6;17,4;;;;;;;personal communication Veromann-Juergenson (2020) (values shown in Figure 4a);0;1
Agathis robusta;;Araucariaceae;evergreen gymnosperms;;Tosens_2012b;0,08;;;;mol m-2 s-1;0,08;0,08;F;variable J;Harley_1992;;1000;;25;leaf;;;;;;225;;;;;;LI-6400;LI-6400-40;;mature individuals, terminal branches;;;;;natural;0;0;;;;;;;;;2,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,493;0,99;;;;;;;;;;;;;;;;;;;;145,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table S3 in Onoda et al. 2017, New Phytologist (doi: 10.1111/nph.14496);0;1
Agathis robusta;;Araucariaceae;evergreen gymnosperms;;Veromann-Juergenson_2020;0,159;;;3;mol m-2 s-1;0,159;0,159;F;variable J;Harley_1992;;1200;10;25;leaf;50;2000;;400;400;225;53;1,5;;;8;GFS-3000;;;mature, fully expanded that had developed in nonshaded conditions and light conditions similar to measurement intensity;;147,33;-42,9;;controlled-condition greenhouse;0;1;;;25;16;78;;;;7,45;;224,2;177,3;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203,8;;;;;;;;;;;;;;;;;;;;;;0,38;;2,14;;;;26,6;25,4;;;;;;;personal communication Veromann-Juergenson (2020) (values shown in Figure 4a);0;1
Alisma plantago-aquatica;;Alismataceae;C3 perennial herbaceous;;Carriqui_2015;0,144;;0,015;;mol m-2 s-1;0,144;0,135;F;variable J;Harley_1992;;1500;10;26;leaf;;;;400;400;;55;1,5;;200;2;LI-6400XTR;LI-6400-40;;fully expanded frons / leaves;;;;;field grown;0;0;;;;;;;;;17;0,169;278;159;119;1,6;;;;;;;135,9;124,44;;;;;;;150,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,6;;;;;;;0,441;;;;;;;;;;;;;;;0,279;;;;;;15,3;7,4;;;;;;;Table 2;0;1
Allium ursinum;;Allioideae;C3 perennial herbaceous;;Hommel_2014;0,042;;;;mol m-2 s-1;0,042;0,045;S;;Terashima_2002;;700;;24;leaf;;;;400;400;;60;1,19;;;;GFS-3000;;;;;;;;greenhouse;0;1;15;600;20;20;;;14;1826;3,74;0,016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 2: gm max Control;0;1
